2026-02-14 13:58:28,202 | INFO | epoch=31 | total=0.68132424 | pulse=-1.16387606 | silence=0.00010773 | contrast=0.17026688 | efficiency=0.01195023 | pre_pulse=0.00138051 | frequency=0.24559888 | frequency_loss=0.00491198 | target_peak=0.00116388 | sidelobe_peak=0.00228461 | total_energy=0.00000016 | trajectory_length=0.11890435 | trajectory_penalty=0.01189044 | jerk=0.00000011 | jerk_penalty=0.00000000 | trajectory_region=0.02808011 | trajectory_region_penalty=1.40400565 | target_band_power=0.11504875 | off_band_power=0.00056512
2026-02-14 13:58:28,612 | INFO | epoch=32 | total=0.66778255 | pulse=-1.17772901 | silence=0.00010792 | contrast=0.17414831 | efficiency=0.01172162 | pre_pulse=0.00141907 | frequency=0.24346486 | frequency_loss=0.00486930 | target_peak=0.00117773 | sidelobe_peak=0.00233035 | total_energy=0.00000016 | trajectory_length=0.11799007 | trajectory_penalty=0.01179901 | jerk=0.00000010 | jerk_penalty=0.00000000 | trajectory_region=0.02805702 | trajectory_region_penalty=1.40285087 | target_band_power=0.11630027 | off_band_power=0.00056630
2026-02-14 13:58:29,022 | INFO | epoch=33 | total=0.63076329 | pulse=-1.19588971 | silence=0.00010822 | contrast=0.17618215 | efficiency=0.01143009 | pre_pulse=0.00146120 | frequency=0.22430164 | frequency_loss=0.00448603 | target_peak=0.00119589 | sidelobe_peak=0.00235977 | total_energy=0.00000016 | trajectory_length=0.11637969 | trajectory_penalty=0.01163797 | jerk=0.00000010 | jerk_penalty=0.00000000 | trajectory_region=0.02803063 | trajectory_region_penalty=1.40153170 | target_band_power=0.11988138 | off_band_power=0.00053779
2026-02-14 13:58:29,429 | INFO | epoch=34 | total=0.59796298 | pulse=-1.21373320 | silence=0.00010874 | contrast=0.17463148 | efficiency=0.01117488 | pre_pulse=0.00149890 | frequency=0.21282960 | frequency_loss=0.00425659 | target_peak=0.00121373 | sidelobe_peak=0.00235318 | total_energy=0.00000017 | trajectory_length=0.11325818 | trajectory_penalty=0.01132582 | jerk=0.00000010 | jerk_penalty=0.00000000 | trajectory_region=0.02800253 | trajectory_region_penalty=1.40012670 | target_band_power=0.12336878 | off_band_power=0.00052513
2026-02-14 13:58:29,836 | INFO | epoch=35 | total=0.57536733 | pulse=-1.23353565 | silence=0.00010942 | contrast=0.16680595 | efficiency=0.01091893 | pre_pulse=0.00153958 | frequency=0.21991648 | frequency_loss=0.00439833 | target_peak=0.00123354 | sidelobe_peak=0.00228483 | total_energy=0.00000017 | trajectory_length=0.10717322 | trajectory_penalty=0.01071732 | jerk=0.00000009 | jerk_penalty=0.00000000 | trajectory_region=0.02797791 | trajectory_region_penalty=1.39889526 | target_band_power=0.12350149 | off_band_power=0.00054320
2026-02-14 13:58:30,242 | INFO | epoch=36 | total=0.53918582 | pulse=-1.25724173 | silence=0.00011017 | contrast=0.15466313 | efficiency=0.01062350 | pre_pulse=0.00158900 | frequency=0.22160737 | frequency_loss=0.00443215 | target_peak=0.00125724 | sidelobe_peak=0.00217525 | total_energy=0.00000017 | trajectory_length=0.09956263 | trajectory_penalty=0.00995626 | jerk=0.00000008 | jerk_penalty=0.00000000 | trajectory_region=0.02795756 | trajectory_region_penalty=1.39787817 | target_band_power=0.12270156 | off_band_power=0.00054383
2026-02-14 13:58:30,650 | INFO | epoch=37 | total=0.51020443 | pulse=-1.28565562 | silence=0.00011126 | contrast=0.15290616 | efficiency=0.01030037 | pre_pulse=0.00165242 | frequency=0.22469354 | frequency_loss=0.00449387 | target_peak=0.00128566 | sidelobe_peak=0.00217189 | total_energy=0.00000017 | trajectory_length=0.09182820 | trajectory_penalty=0.00918282 | jerk=0.00000007 | jerk_penalty=0.00000000 | trajectory_region=0.02794027 | trajectory_region_penalty=1.39701355 | target_band_power=0.12345003 | off_band_power=0.00055477
2026-02-14 13:58:31,058 | INFO | epoch=38 | total=0.46883881 | pulse=-1.31990767 | silence=0.00011390 | contrast=0.15565164 | efficiency=0.01002336 | pre_pulse=0.00171963 | frequency=0.21657240 | frequency_loss=0.00433145 | target_peak=0.00131991 | sidelobe_peak=0.00221647 | total_energy=0.00000018 | trajectory_length=0.08567093 | trajectory_penalty=0.00856709 | jerk=0.00000007 | jerk_penalty=0.00000000 | trajectory_region=0.02792197 | trajectory_region_penalty=1.39609849 | target_band_power=0.12658784 | off_band_power=0.00054831
2026-02-14 13:58:31,463 | INFO | epoch=39 | total=0.44606704 | pulse=-1.34905946 | silence=0.00011676 | contrast=0.16290489 | efficiency=0.00983292 | pre_pulse=0.00176677 | frequency=0.21699186 | frequency_loss=0.00433984 | target_peak=0.00134906 | sidelobe_peak=0.00230358 | total_energy=0.00000018 | trajectory_length=0.08279175 | trajectory_penalty=0.00827917 | jerk=0.00000007 | jerk_penalty=0.00000000 | trajectory_region=0.02790468 | trajectory_region_penalty=1.39523411 | target_band_power=0.12875599 | off_band_power=0.00055878
2026-02-14 13:58:31,870 | INFO | epoch=40 | total=0.43552113 | pulse=-1.35836959 | silence=0.00011630 | contrast=0.15956227 | efficiency=0.00964963 | pre_pulse=0.00176787 | frequency=0.21972905 | frequency_loss=0.00439458 | target_peak=0.00135837 | sidelobe_peak=0.00227481 | total_energy=0.00000018 | trajectory_length=0.08479214 | trajectory_penalty=0.00847921 | jerk=0.00000007 | jerk_penalty=0.00000000 | trajectory_region=0.02789173 | trajectory_region_penalty=1.39458632 | target_band_power=0.12746382 | off_band_power=0.00056015
2026-02-14 13:58:32,284 | INFO | epoch=41 | total=0.44669104 | pulse=-1.35111046 | silence=0.00011472 | contrast=0.15399911 | efficiency=0.00959558 | pre_pulse=0.00173475 | frequency=0.22950579 | frequency_loss=0.00459012 | target_peak=0.00135111 | sidelobe_peak=0.00221555 | total_energy=0.00000018 | trajectory_length=0.08875009 | trajectory_penalty=0.00887501 | jerk=0.00000008 | jerk_penalty=0.00000000 | trajectory_region=0.02787953 | trajectory_region_penalty=1.39397657 | target_band_power=0.12438135 | off_band_power=0.00057092
2026-02-14 13:58:32,687 | INFO | epoch=42 | total=0.45224875 | pulse=-1.34455276 | silence=0.00011378 | contrast=0.15071283 | efficiency=0.00958341 | pre_pulse=0.00171273 | frequency=0.23227032 | frequency_loss=0.00464541 | target_peak=0.00134455 | sidelobe_peak=0.00217940 | total_energy=0.00000017 | trajectory_length=0.09189107 | trajectory_penalty=0.00918911 | jerk=0.00000009 | jerk_penalty=0.00000000 | trajectory_region=0.02786439 | trajectory_region_penalty=1.39321947 | target_band_power=0.12523721 | off_band_power=0.00058178
2026-02-14 13:58:33,092 | INFO | epoch=43 | total=0.45051759 | pulse=-1.34200501 | silence=0.00011294 | contrast=0.14390987 | efficiency=0.00953746 | pre_pulse=0.00171045 | frequency=0.23541719 | frequency_loss=0.00470834 | target_peak=0.00134200 | sidelobe_peak=0.00211010 | total_energy=0.00000017 | trajectory_length=0.09337905 | trajectory_penalty=0.00933790 | jerk=0.00000010 | jerk_penalty=0.00000000 | trajectory_region=0.02784994 | trajectory_region_penalty=1.39249694 | target_band_power=0.12752517 | off_band_power=0.00060043
2026-02-14 13:58:33,496 | INFO | epoch=44 | total=0.44217819 | pulse=-1.34271693 | silence=0.00011197 | contrast=0.13848221 | efficiency=0.00945283 | pre_pulse=0.00171946 | frequency=0.23383135 | frequency_loss=0.00467663 | target_peak=0.00134272 | sidelobe_peak=0.00205618 | total_energy=0.00000017 | trajectory_length=0.09350266 | trajectory_penalty=0.00935027 | jerk=0.00000011 | jerk_penalty=0.00000000 | trajectory_region=0.02783894 | trajectory_region_penalty=1.39194703 | target_band_power=0.12884229 | off_band_power=0.00060255
2026-02-14 13:58:33,901 | INFO | epoch=45 | total=0.42974222 | pulse=-1.34838462 | silence=0.00011151 | contrast=0.13658528 | efficiency=0.00935218 | pre_pulse=0.00173847 | frequency=0.22948244 | frequency_loss=0.00458965 | target_peak=0.00134838 | sidelobe_peak=0.00204005 | total_energy=0.00000017 | trajectory_length=0.09325122 | trajectory_penalty=0.00932512 | jerk=0.00000011 | jerk_penalty=0.00000000 | trajectory_region=0.02783064 | trajectory_region_penalty=1.39153194 | target_band_power=0.12858295 | off_band_power=0.00059015
2026-02-14 13:58:34,306 | INFO | epoch=46 | total=0.41081667 | pulse=-1.35718012 | silence=0.00011240 | contrast=0.13956846 | efficiency=0.00931829 | pre_pulse=0.00176333 | frequency=0.21676496 | frequency_loss=0.00433530 | target_peak=0.00135718 | sidelobe_peak=0.00207427 | total_energy=0.00000017 | trajectory_length=0.09415590 | trajectory_penalty=0.00941559 | jerk=0.00000012 | jerk_penalty=0.00000000 | trajectory_region=0.02782108 | trajectory_region_penalty=1.39105380 | target_band_power=0.12863280 | off_band_power=0.00055766
2026-02-14 13:58:34,710 | INFO | epoch=47 | total=0.40778911 | pulse=-1.36604714 | silence=0.00011419 | contrast=0.15343246 | efficiency=0.00935485 | pre_pulse=0.00178348 | frequency=0.20878974 | frequency_loss=0.00417579 | target_peak=0.00136605 | sidelobe_peak=0.00221735 | total_energy=0.00000018 | trajectory_length=0.09514698 | trajectory_penalty=0.00951470 | jerk=0.00000013 | jerk_penalty=0.00000000 | trajectory_region=0.02781694 | trajectory_region_penalty=1.39084685 | target_band_power=0.12997344 | off_band_power=0.00054274
2026-02-14 13:58:35,115 | INFO | epoch=48 | total=0.39937294 | pulse=-1.36995673 | silence=0.00011432 | contrast=0.15363868 | efficiency=0.00932933 | pre_pulse=0.00178823 | frequency=0.20386197 | frequency_loss=0.00407724 | target_peak=0.00136996 | sidelobe_peak=0.00222137 | total_energy=0.00000018 | trajectory_length=0.09610482 | trajectory_penalty=0.00961048 | jerk=0.00000014 | jerk_penalty=0.00000000 | trajectory_region=0.02781973 | trajectory_region_penalty=1.39098656 | target_band_power=0.12929492 | off_band_power=0.00052717
