epoch,lr,target_pos_x,target_pos_y,total,pulse,silence,contrast,efficiency,pre_pulse,frequency,frequency_loss,target_peak,sidelobe_peak,total_energy,trajectory_length,trajectory_penalty,jerk,jerk_penalty,trajectory_region,trajectory_region_penalty,target_band_power,off_band_power
46,0.001,0.05,0.05,0.41081666946411133,-1.357180118560791,0.00011239908053539693,0.13956846296787262,0.009318291209638119,0.001763331820257008,0.21676495671272278,0.004335299134254456,0.0013571800664067268,0.0020742747001349926,1.7256896001072164e-07,0.09415590018033981,0.009415590204298496,1.2202417565276846e-07,1.220241685473411e-09,0.027821077033877373,1.3910537958145142,0.1286327987909317,0.0005576617550104856
47,0.001,0.05,0.05,0.40778911113739014,-1.3660471439361572,0.00011418932990636677,0.1534324586391449,0.009354854002594948,0.0017834799364209175,0.20878973603248596,0.004175794776529074,0.0013660471886396408,0.002217348199337721,1.7550500786001066e-07,0.09514698386192322,0.009514698758721352,1.298419505246784e-07,1.2984194830423235e-09,0.027816936373710632,1.390846848487854,0.12997344136238098,0.0005427424912340939
48,0.001,0.05,0.05,0.399372935295105,-1.3699567317962646,0.00011431816528784111,0.15363867580890656,0.009329325519502163,0.0017882301472127438,0.20386196672916412,0.00407723942771554,0.0013699567643925548,0.002221365226432681,1.7602400248506456e-07,0.09610481560230255,0.009610481560230255,1.3919265029471717e-07,1.3919264629791428e-09,0.027819732204079628,1.3909865617752075,0.12929491698741913,0.0005271664122119546
49,0.001,0.05,0.05,0.3984152674674988,-1.374313235282898,0.00011424040712881833,0.15505924820899963,0.009276613593101501,0.0017900833627209067,0.20545844733715057,0.004109168890863657,0.0013743132585659623,0.0022377490531653166,1.7613848513065022e-07,0.09756910800933838,0.009756910614669323,1.49982156472106e-07,1.4998214892258943e-09,0.027825459837913513,1.391273021697998,0.130910262465477,0.0005379324429668486
50,0.001,0.05,0.05,0.39545369148254395,-1.3798779249191284,0.00011536893725860864,0.1582595705986023,0.00929423701018095,0.0017924605635926127,0.20442771911621094,0.004088554531335831,0.0013798779109492898,0.0022725346498191357,1.7789753314900736e-07,0.09848412871360779,0.009848413057625294,1.5905064287835557e-07,1.590506393256419e-09,0.027831878513097763,1.3915939331054688,0.1324482560157776,0.0005415219930000603
51,0.001,0.05,0.05,0.3938344120979309,-1.385353684425354,0.0001147851871792227,0.15410996973514557,0.009187377989292145,0.0017971337074413896,0.21192364394664764,0.004238472785800695,0.0013853537384420633,0.0022337764967232943,1.7724335066304775e-07,0.09870903193950653,0.009870903566479683,1.6894775001219386e-07,1.6894774468312335e-09,0.027843687683343887,1.3921843767166138,0.13253408670425415,0.0005617421702481806
52,0.001,0.05,0.05,0.38680994510650635,-1.3923194408416748,0.00011422848183428869,0.1492544710636139,0.009067324921488762,0.0018135529244318604,0.2162761092185974,0.004325522109866142,0.001392319449223578,0.002188704442232847,1.7668165241957468e-07,0.09807287156581879,0.009807287715375423,1.7812105568282277e-07,1.7812105124193067e-09,0.02785593271255493,1.3927966356277466,0.13383430242538452,0.0005789033020846546
53,0.001,0.05,0.05,0.3780372142791748,-1.4005241394042969,0.0001150119787780568,0.1554708182811737,0.009028266184031963,0.0018337536603212357,0.20903973281383514,0.004180794581770897,0.0014005241682752967,0.002254970371723175,1.77989363692177e-07,0.09748612344264984,0.009748612530529499,1.8558756664788234e-07,1.8558756753606076e-09,0.027866501361131668,1.3933250904083252,0.13526831567287445,0.0005655291024595499
54,0.001,0.05,0.05,0.37624669075012207,-1.4019376039505005,0.00011548824841156602,0.15810206532478333,0.009049019776284695,0.0018430727068334818,0.2054366022348404,0.004108732100576162,0.0014019375666975975,0.002281989436596632,1.7875694879876391e-07,0.09864038228988647,0.009864038787782192,1.9492669878218294e-07,1.949266970058261e-09,0.02787547931075096,1.3937739133834839,0.13753704726696014,0.0005651029641740024
55,0.001,0.05,0.05,0.36970245838165283,-1.3971593379974365,0.00011366361286491156,0.14465723931789398,0.008978285826742649,0.0018352714832872152,0.20669244229793549,0.004133848939090967,0.001397159299813211,0.002145152073353529,1.7615882086374768e-07,0.10133668035268784,0.010133667849004269,2.0730993810502696e-07,2.0730992478235066e-09,0.027889028191566467,1.394451379776001,0.1369531899690628,0.000566143833566457
